event_id,start_at,end_at,name,url,host,host_id,calendar_slug,calendar_name,location,city_state,lat,lng,guest_count,ticket_count,location_type,first_seen,sources
evt-j9dVNzw9QTCOCgl,2026-05-07T07:00:00.000Z,2026-05-07T11:30:00.000Z,Finantare & Oportunitati pentru sisteme fotovoltaice,https://lu.ma/txaahnnp,MRB Electric,usr-YZGNSFF1pGWqHkq,,MRB Electric,"Grand Hotel Italia, Str. Vasile Conta 2, 400478 Cluj-Napoca, Romania","Cluj-Napoca, Romania",46.752095499999996,23.6060333,0,0,offline,2026-05-05,geo
evt-uPk1jrzPm3lDeAf,2026-05-07T16:30:00.000Z,2026-05-07T20:00:00.000Z,ETHCluj Chill & Chat Community Hangout #27,https://lu.ma/wgv1ab23,ETHCluj,usr-lYPkti7kLQvStiU,ETHCluj,ETHCluj,,"Cluj-Napoca, Romania",46.7675,23.59,9,9,offline,2026-05-05,geo
evt-R7lrMiBwSSoNWHa,2026-05-08T16:00:00.000Z,2026-05-08T19:00:00.000Z,Cinevine #9 - Bicycle Thieves,https://lu.ma/luy3wflf,Sergiu,usr-Lw6sFfYsenFZLqF,cinevine,Cinevine,"Pavilionul Tinerilor, Centrul de Cultură Urbană, Str. Parcul Feroviarilor, 400394 Cluj-Napoca, Romania","Cluj-Napoca, Romania",46.7828672,23.5962671,49,49,offline,2026-05-05,geo
evt-F9i5qJ0knoNMABC,2026-05-10T07:00:00.000Z,2026-05-10T08:30:00.000Z,Tura de duminică Cluj,https://lu.ma/u3r2haij,Andrei Catinas,usr-FGJ121ix75DkgRJ,turadeduminica,Tura de duminică,"Public street water pump, Parcul Central, Parcul Central, Cluj-Napoca, Romania","Cluj-Napoca, Județul Cluj",46.772042,23.583263,8,8,offline,2026-05-05,calendar:turadeduminica|geo
evt-d9BsMUvRaAVe7id,2026-05-12T13:00:00.000Z,2026-05-12T16:00:00.000Z,Web3Privacy now Cluj meetup,https://lu.ma/zttuflbr,Mykola x Web3Privacy now,usr-kdyQtaqVtK7kcH8,web3privacy,Web3Privacy Now Events,"Insomnia, Str. Universității 2, 400091 Cluj-Napoca, Romania","Cluj-Napoca, Județul Cluj",46.768326699999996,23.589653499999997,0,0,offline,2026-05-05,geo
evt-2UoB4z6upTR9cxE,2026-05-12T15:00:00.000Z,2026-05-12T17:00:00.000Z,Cluj-Napoca Meetup | DELTA Bootcamp,https://lu.ma/4u5tfgix,Alexandru Agatinei,usr-D6MxzUp4uSMqW4u,,Personal,,"Cluj-Napoca, Romania",46.77,23.59,3,3,offline,2026-05-12,geo
evt-hVVFTJk28WBjusP,2026-05-13T05:00:00.000Z,2026-05-13T06:00:00.000Z,Protocol Guild + Shutter: Threshold Encryption Running Club,https://lu.ma/yqqkox34,Shutter,usr-A7CAD6Mu6JHT2se,,Personal,"Hungarian Opera, Strada Emil Isac 26-28, 400023 Cluj-Napoca, Romania","Cluj-Napoca, Romania",46.7724841,23.584030199999997,8,8,offline,2026-05-05,geo
evt-oq9LllzkZUDTeZl,2026-05-13T09:00:00.000Z,2026-05-13T11:00:00.000Z,ETHCluj Pop-up Logos Circle: Tea & Purpose,https://lu.ma/nwgntu3l,Roxana Nasoi,usr-E2hH2tdFZxNZ64X,logosevents,Logos,"Cluj Arena, Aleea Stadionului 2, 400375 Cluj-Napoca, Romania","Cluj-Napoca, Romania",46.7686345,23.5717021,20,20,offline,2026-05-05,geo
evt-pNaISBBT8EVg9FE,2026-05-13T13:30:00.000Z,2026-05-15T14:30:00.000Z,Enterprise Roundtable at ETHCluj 2026,https://lu.ma/nn9ij66r,ETHCluj,usr-lYPkti7kLQvStiU,ETHCluj2026,ETHCluj 2026,"Cluj Arena, Aleea Stadionului 2, 400375 Cluj-Napoca, Romania","Cluj-Napoca, Romania",46.7686345,23.5717021,17,17,offline,2026-05-09,geo
evt-q6F8qLqo0uP7A9H,2026-05-13T14:00:00.000Z,2026-05-13T15:30:00.000Z,ETHGlobal Happy Hour Cluj with ETHCluj,https://lu.ma/ethglobal-hh-cluj,ETHGlobal,usr-a6jP9xQkVIMaDiy,ethglobal,ETHGlobal,,"Cluj-Napoca, Romania",46.7675,23.5725,0,0,offline,2026-05-13,geo
evt-TuipYNDQhL3AIna,2026-05-13T16:00:00.000Z,2026-05-13T18:00:00.000Z,Proiecție de film & discuție: Ed Wood (r. Tim Burton),https://lu.ma/udqxa4ix,Centrul de Cultura Urbana,usr-uL6aRWwD1g3I0UP,,Personal,"Mărăști Cinema, Strada Aurel Vlaicu 3A, 400612 Cluj-Napoca, Romania","Cluj-Napoca, Romania",46.7793736,23.617370299999997,34,34,offline,2026-05-07,geo
evt-gPqrvBUQNXiDRVC,2026-05-13T16:30:00.000Z,2026-05-13T20:59:00.000Z,Building Smart Investors: The Role of Education in Investing & Trading,https://lu.ma/59fhgj13,Crypto Society,usr-E6y0fRsvH7rSbRY,,Personal,"AMAR, Restaurant Baracca, Str. Napoca 8, 400347 Cluj-Napoca, Romania","Cluj-Napoca, Romania",46.7682188,23.5883315,0,0,offline,2026-05-05,geo
evt-ag6e2vxYAAfdlWU,2026-05-14T07:20:00.000Z,2026-05-14T11:20:00.000Z,Logos Privacy Builders Bootcamp,https://lu.ma/rryhld2v,Roxana Nasoi,usr-E2hH2tdFZxNZ64X,logosevents,Logos,"Cluj Arena, Aleea Stadionului 2, 400375 Cluj-Napoca, Romania","Cluj-Napoca, Romania",46.7686345,23.5717021,13,13,offline,2026-05-05,geo
evt-BRfD89ZcS1MYfEV,2026-05-14T15:00:00.000Z,2026-05-14T19:00:00.000Z,OpenAlt Romania Meetup #3,https://lu.ma/x1lvdcgq,Barbora Viski,usr-VSBiqSUojj0Pumz,OpenAltRO,OpenAlt Romania,"Centrul pentru Tineret Cluj-Napoca, Strada Iuliu Maniu 1, 400095 Cluj-Napoca, Romania","Cluj-Napoca, Județul Cluj",46.770241299999995,23.5907736,8,8,offline,2026-05-08,geo
